match_id,player_name,sets,balls_bowled,runs_conceded,how_many_out,extras
175,BAC Howell,2.0,10,15,0,0
175,C Overton,3.0,15,14,0,0
175,CJ Jordan,3.0,17,20,1,3
175,CN Ackermann,4.0,21,19,1,1
175,CR Woakes,3.0,15,20,0,0
175,DR Mousley,0.8,5,1,1,1
175,GHS Garton,2.0,10,22,0,0
175,KW Richardson,1.0,5,5,1,0
175,LS Livingstone,2.0,10,20,0,0
175,MM Ali,4.0,20,17,1,0
175,Rehan Ahmed,4.0,21,22,3,1
175,T Sangha,4.0,22,23,3,3
175,TS Mills,4.0,21,20,3,1
176,DR Sams,4.0,20,28,2,0
176,IS Sodhi,3.0,16,29,0,2
176,J Overton,3.0,15,15,0,0
176,JC Tongue,4.0,22,32,3,2
176,L Gregory,4.0,21,30,2,2
176,L Wood,4.0,21,31,1,1
176,PI Walter,4.0,21,24,2,1
176,SJ Cook,2.0,10,32,1,0
176,SR Patel,3.0,15,29,0,0
176,TW Hartley,1.0,6,10,0,5
176,Usama Mir,4.0,23,45,0,7
176,Zaman Khan,4.0,22,42,0,2
177,AU Rashid,4.0,20,18,2,0
177,D Wiese,3.0,15,20,0,0
177,DJ Worrall,3.0,17,29,0,2
177,JA Thompson,3.0,15,33,0,0
177,LA Dawson,4.0,20,19,2,0
177,MJ Potts,3.0,16,37,0,1
177,MJJ Critchley,2.0,10,14,0,0
177,MW Short,2.0,10,19,0,0
177,NT Ellis,4.0,20,28,1,0
177,RJW Topley,4.0,20,20,3,0
177,RS Bopara,4.0,20,21,4,0
177,WD Parnell,4.0,20,46,1,0
178,AF Milne,4.0,20,24,2,0
178,BAC Howell,4.0,20,30,1,0
178,CR Woakes,4.0,22,30,1,2
178,DR Sams,4.0,21,17,3,1
178,IS Sodhi,4.0,21,22,1,1
178,KW Richardson,4.0,20,37,1,0
178,L Gregory,1.0,5,7,0,0
178,L Wood,4.0,20,42,2,0
178,M Carter,4.0,20,15,2,0
178,MM Ali,2.0,10,17,1,0
178,SJ Cook,3.0,15,11,1,0
178,T Sangha,2.0,11,24,0,2
179,A Zampa,4.0,20,22,2,0
179,C Overton,4.0,20,30,1,0
179,CJ Jordan,4.0,20,20,3,0
179,CN Ackermann,1.0,5,4,0,0
179,GHS Garton,3.0,15,21,0,0
179,NA Sowter,4.0,20,25,0,0
179,Rehan Ahmed,4.0,20,14,2,0
179,SH Johnson,3.0,15,22,0,0
179,SM Curran,4.0,20,18,1,0
179,TK Curran,4.0,21,43,3,1
179,TS Mills,4.0,21,39,1,1
179,WG Jacks,1.0,5,1,1,0
180,AU Rashid,4.0,20,18,4,0
180,BA Carse,2.0,10,19,0,0
180,CF Parkinson,4.0,20,31,1,0
180,CG Harrison,4.0,20,11,5,0
