match_id,player_name,balls_faced,runs_scored,out,catches
161,AJ Hose,4,7,0,0
161,D Wiese,2,1,1,0
161,DP Conway,16,15,1,1
161,FH Allen,6,10,1,1
161,GHS Garton,4,4,0,0
161,HC Brook,30,63,0,0
161,JJ Weatherley,5,8,0,0
161,JL du Plooy,25,28,1,0
161,JM Vince,28,33,1,1
161,MW Short,37,73,1,1
161,T Banton,35,44,1,1
161,TH David,19,40,1,1
162,BGF Green,16,25,1,1
162,DJ Willey,17,13,1,1
162,GD Phillips,4,6,1,1
162,H Klaasen,16,18,1,1
162,JJ Roy,1,0,1,1
162,JM Clarke,46,69,0,0
162,JM Cox,43,51,1,1
162,LWP Wells,7,12,1,1
162,SM Curran,3,1,1,1
162,SP Narine,5,2,0,0
162,SS Eskinazi,5,1,1,1
162,SW Billings,5,4,1,1
162,Shaheen Shah Afridi,3,3,0,0
162,TB Abell,3,0,1,1
162,TK Curran,20,38,1,0
162,WG Jacks,12,16,1,1
163,AF Milne,17,13,1,0
163,AJ Turner,11,21,1,1
163,BAC Howell,11,9,1,1
163,BM Duckett,7,10,1,1
163,DR Mousley,3,5,1,0
163,J Little,1,1,0,0
163,J Overton,14,22,1,0
163,JC Buttler,33,43,1,0
163,JL Smith,10,15,1,1
163,KW Richardson,7,8,0,0
163,LJ Evans,16,21,1,1
163,LS Livingstone,28,27,1,0
163,MDE Holden,1,0,1,0
163,MM Ali,2,1,1,0
163,PD Salt,4,2,1,0
163,PI Walter,8,13,1,1
163,Shadab Khan,6,4,1,1
163,TG Helm,3,2,1,0
163,TW Hartley,1,0,1,1
163,Usama Mir,14,32,0,0
163,WCF Smeed,9,8,1,1
164,DP Conway,3,0,1,0
164,FH Allen,14,13,1,1
164,JM Vince,9,19,1,1
164,TH David,1,1,0,0
165,AD Hales,22,29,1,0
165,AJ Hose,18,18,1,1
165,BA Carse,29,33,0,0
165,C Munro,16,15,1,1
165,D Wiese,28,54,0,0
165,DJ Malan,10,6,1,1
165,DR Sams,14,27,1,1
165,HC Brook,2,0,1,0
165,Imad Wasim,1,1,0,0
165,JE Root,8,4,1,1
165,L Gregory,5,11,0,0
165,MW Short,5,8,1,0
165,SA Zaib,21,21,1,1
165,SR Hain,12,20,1,1
165,T Banton,1,0,1,0
165,T Kohler-Cadmore,12,15,1,1
166,AJ Turner,9,13,1,0
166,H Klaasen,28,60,1,1
166,J Little,5,0,1,0
166,J Overton,22,37,1,1
166,JC Buttler,24,23,1,1
166,JJ Roy,44,59,1,0
166,JM Cox,8,17,1,1
166,LJ Evans,9,5,1,1
166,MDE Holden,2,0,1,1
166,PD Salt,11,2,1,1
166,PI Walter,2,4,1,1
166,RA Whiteley,2,1,0,0
166,RJ Gleeson,2,0,0,0
166,SM Curran,7,7,1,0
166,SW Billings,2,5,0,0
166,TW Hartley,3,0,1,0
166,Usama Mir,2,1,1,1
166,WG Jacks,13,32,1,1
167,AF Milne,3,0,0,0
167,BAC Howell,3,3,0,0
167,BM Duckett,20,25,1,1
167,DJ Willey,15,15,0,0
167,DR Mousley,13,10,1,1
