match_id,innings,ball_no,batting_team,bowling team,batter,bowler,non_batter,runs,extras,extra_type,total_runs,wicket,how_out,catcher
1,2,26,Manchester Originals,Oval Invincibles,C Munro,RJW Topley,JC Buttler,4,0,False,4,False,False,False
1,2,27,Manchester Originals,Oval Invincibles,C Munro,RJW Topley,JC Buttler,1,0,False,1,False,False,False
1,2,28,Manchester Originals,Oval Invincibles,JC Buttler,RJW Topley,C Munro,0,1,legbyes,1,False,False,False
1,2,29,Manchester Originals,Oval Invincibles,C Munro,RJW Topley,JC Buttler,1,0,False,1,False,False,False
1,2,30,Manchester Originals,Oval Invincibles,JC Buttler,RJW Topley,C Munro,0,0,False,0,False,False,False
1,2,31,Manchester Originals,Oval Invincibles,C Munro,SP Narine,JC Buttler,0,0,False,0,False,False,False
1,2,32,Manchester Originals,Oval Invincibles,C Munro,SP Narine,JC Buttler,0,1,wides,1,False,False,False
1,2,32,Manchester Originals,Oval Invincibles,C Munro,SP Narine,JC Buttler,1,0,False,1,False,False,False
1,2,33,Manchester Originals,Oval Invincibles,JC Buttler,SP Narine,C Munro,4,0,False,4,False,False,False
1,2,34,Manchester Originals,Oval Invincibles,JC Buttler,SP Narine,C Munro,0,0,False,0,True,caught,CA Ingram
1,2,35,Manchester Originals,Oval Invincibles,TA Lammonby,SP Narine,C Munro,1,0,False,1,False,False,False
1,2,36,Manchester Originals,Oval Invincibles,C Munro,WG Jacks,TA Lammonby,0,0,False,0,False,False,False
1,2,37,Manchester Originals,Oval Invincibles,C Munro,WG Jacks,TA Lammonby,0,0,False,0,False,False,False
1,2,38,Manchester Originals,Oval Invincibles,C Munro,WG Jacks,TA Lammonby,1,0,False,1,False,False,False
1,2,39,Manchester Originals,Oval Invincibles,TA Lammonby,WG Jacks,C Munro,1,0,False,1,False,False,False
1,2,40,Manchester Originals,Oval Invincibles,C Munro,WG Jacks,TA Lammonby,6,0,False,6,False,False,False
1,2,41,Manchester Originals,Oval Invincibles,TA Lammonby,NA Sowter,C Munro,0,0,False,0,True,caught,CA Ingram
